404,8,15.8,9.6,0.0,57,54,473,抹茶起司蛋糕風味星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
178,2.7,2.6,1.5,0,36,31,154,咖啡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
349,4.1,11.1,6.9,0.0,57,56,189,夏日芒果吉利星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
61,0.2,0.0,0.0,0.0,15.0,14.1,48,椰子汁,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
419,7.5,16.9,6.6,0,60,50,304,開心果巧克力星冰樂                                 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
371,7.5,15.6,8.4,0,49,41,190,奶茶義式奶酪星冰樂                           ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
404,6.4,13.6,6.9,0,65,59,214,哈密瓜白巧克力星冰樂                                                                                                              ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
85,5.9,0.1,0.1,0,15,13,68,雲朵冰搖濃縮咖啡            ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
189,6.0,5.5,3.4,0.0,28.8,19.4,86,雙莓優格飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
375,5.9,6.4,3.9,0,72,66,203,巴西莓優格星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
150,0.2,0,0,0,37,32,17,荔枝吉利檸檬果茶                                   ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
326,5.5,2.4,1.5,0,70,59,193,蜜桃杏桃優格奶霜星冰樂 ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
294,3.2,11.2,6.8,0,46,45,167,焦糖星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
113,6.1,5.8,3.3,0,9,8,72,那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
303,0.3,1,0.9,0,73,72,235,紫葡萄吉利果汁星冰樂             ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
77,5,0.2,0.1,0,13,13,69,深焦糖風味雲朵氮氣咖啡            ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
85,5.4,0.2,0.1,0.0,15,15,76,咖啡漿果風味雲朵冷萃咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
155,8.1,7.9,4.5,0.0,13,12,105,馥列白,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
350,11.6,18.4,11.1,0.0,34,30,133,摩卡可可亞咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
297,8.0,16,10.1,0.0,29,25,87,冰摩卡可可亞咖啡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
316,11.5,14.5,5.9,0,35,31,119,芝麻抹茶那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
0,0,0,0,0,0,0,0,Milk kiss蜜桃乳酸飲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
288,8.9,14.3,8.6,0,30,29,225,太妃核果風味那堤                                             ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
352,9.6,15.1,8.9,0,50,43,106,薄荷風味摩卡咖啡                                                                   ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
274,3.6,11.0,6.7,0,42,40,155,摩卡星冰樂,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
316,10.4,15.6,9.3,0.4,34,30,114,義式經典巧克力咖啡                  ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
296,8.8,14.3,8.5,0,33,31,123,薑餅香那堤                           ,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
352,9.8,16.5,10.5,0,41,37,257,耶誕雪白巧克力那堤,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
