Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
90.0,48.0,0.2,0.0,0.0,0.0,11.7,9.0,0.002,綜合果泥,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_綜合果泥
95.0,388.0,11.0,25.9,12.2,1.0,27.6,6.2,0.521,起司牛肉可頌,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_起司牛肉可頌
163.0,329.0,20.5,11.7,3.1,0.0,35.5,1.8,0.792,香料烤雞三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_香料烤雞三明治
84.0,312.0,4.5,18.1,11.5,0.0,32.8,5.0,0.111,藍莓乳酪塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_藍莓乳酪塔
446.0,1597.0,24.1,84.7,50.0,0.0,184.6,63.3,0.571,6 吋藍莓乳酪塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6 吋藍莓乳酪塔
100.0,288.0,12.6,9.5,2.7,0.0,38.0,1.8,0.549,乳酪燻腸巧巴達,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_乳酪燻腸巧巴達
55.0,244.0,4.7,11.3,5.7,0.1,30.7,10.0,0.05,蔓越莓鬆餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蔓越莓鬆餅
65.0,215.0,3.1,8.0,5.3,0.1,32.5,14.6,0.156,蔓越莓卡士達丹麥捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蔓越莓卡士達丹麥捲
107.0,196.0,5.8,8.4,2.0,0.0,24.2,6.7,0.178,地瓜堅果三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_地瓜堅果三明治
60.0,528.0,6.1,28.5,18.1,0.1,61.9,59.6,0.083,星巴克金幣巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克金幣巧克力
20.0,83.0,0.2,0.9,0.6,0.0,18.6,12.0,0.007,焦糖咖啡棒棒糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_焦糖咖啡棒棒糖
