重量,熱量,蛋白質,脂肪,飽和脂肪,反式脂肪,碳水化合物,糖,鈉,食物名,品牌,資料來源,更新時間,食用量
120.0,257.0,14.4,9.2,3.0,0.0,29.0,0.0,461.0,美式培根蛋堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
140.0,336.0,9.9,19.6,14.3,0.0,29.8,16.1,200.0,星巴克輕乳蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
130.0,103.0,3.4,4.0,2.6,0.0,13.3,9.2,45.0,藍莓果漿優格,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
149.0,84.0,1.0,0.3,0.0,0.0,19.2,0.0,10.0,雙果巧拼,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
160.0,445.0,17.0,23.0,12.0,0.0,42.0,5.0,856.0,雞肉可頌堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
145.0,287.0,9.7,12.9,1.7,0.0,32.9,1.3,637.0,歐姆蛋嫩雞捲餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
140.0,413.0,13.2,23.5,14.6,0.0,37.1,3.1,641.0,迷迭香雞肉可頌三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,252.0,8.1,15.1,6.9,0.0,21.0,4.2,375.0,義式臘腸烘蛋派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
210.0,252.0,6.7,14.7,1.7,0.0,23.5,4.4,519.0,凱薩雞肉藜麥沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
85.0,278.0,6.9,16.6,9.0,0.2,25.3,7.6,52.0,抹茶千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
150.0,416.0,17.9,20.3,11.4,0.0,40.5,4.2,768.0,焗烤法國先生三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,346.0,13.9,12.8,4.7,0.0,43.6,1.8,697.0,艾曼達乾酪里肌三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90.0,293.0,3.9,16.6,10.3,0.3,32.2,9.2,264.0,南瓜派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
65.0,215.0,3.1,8.0,5.3,0.0,32.5,14.6,156.0,蔓越莓卡士達丹麥捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
220.0,286.0,8.8,9.7,3.7,0.0,40.9,20.5,103.0,莓果燕麥優格,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,353.0,4.2,0.6,0.0,0.0,82.7,55.9,23.0,萬聖節綜合水果風味軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
85.0,252.0,4.6,16.1,6.9,0.0,22.2,9.7,94.0,芋泥派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
105.0,294.0,4.2,18.5,11.7,0.0,27.7,12.6,51.0,紫薯蒙布朗薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
650.0,1970.0,38.4,104.7,69.6,1.3,219.7,115.1,377.0,6吋抹茶千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
680.0,2013.0,36.7,128.5,55.1,0.0,177.5,77.5,748.0,9吋芋泥派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
85.0,423.0,6.9,29.1,16.1,0.0,33.6,4.9,161.0,國王派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
420.0,1546.0,27.0,64.3,33.6,1.7,214.2,91.6,655.0,潘娜朵尼水果麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
80.0,278.0,7.3,11.0,5.7,0.0,36.6,9.1,238.0,巧克力樹幹麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
190.0,376.0,19.6,12.9,4.9,0.0,45.6,4.2,781.0,青醬牛肉佛卡夏,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
45.0,189.0,2.8,11.5,7.7,0.2,18.5,12.6,86.0,橙香起司布朗尼,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
150.0,570.0,8.3,30.9,18.5,0.2,64.8,27.6,75.0,蒙布朗聖諾黑,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90.0,274.0,6.9,15.9,9.4,0.2,25.7,7.5,57.0,繽紛耶誕薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
80.0,288.0,4.9,17.1,8.7,0.4,28.6,14.2,130.0,爐烤檸檬起士塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
65.0,200.0,4.7,11.4,6.7,0.1,19.6,10.8,66.0,經典奶油捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
330.0,1013.0,23.8,57.8,34.0,0.0,99.7,54.8,337.0,長條經典奶油捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
200.0,696.0,18.2,28.6,14.2,0.0,91.6,22.8,594.0,長條巧克力樹幹麵包,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,418.0,3.3,13.2,8.1,0.0,71.4,43.3,8.0,草莓巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
80.0,430.0,4.6,14.4,8.9,0.0,70.5,51.6,13.0,椰棗巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,399.0,0.2,0.0,0.0,0.0,99.6,69.2,4.0,星巴克糖果罐,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,126.0,1.6,5.7,3.7,0.0,17.2,10.8,65.0,啤酒巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,506.0,6.3,22.9,14.9,0.1,68.6,43.1,261.0,三色巧克力餅乾,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,336.0,5.1,0.0,0.0,0.0,78.9,47.7,15.0,松露造型水果軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
110.0,356.0,3.9,0.8,0.0,0.0,83.4,52.3,75.0,耶誕雪人棉花糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
40.0,519.0,5.1,28.8,2.4,0.0,58.6,1.2,560.0,波滋洋芋片西班牙臘腸,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
40.0,730.4,18.3,69.2,6.7,0.0,8.6,2.1,15.0,原味核桃,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,363.0,4.1,1.4,0.0,0.0,83.4,45.4,15.0,耶誕日曆軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
22.5,400.0,0.4,0.8,0.8,0.0,97.7,0.0,1.0,星巴克薄荷糖(紅石榴綠茶風味),Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
12.5,406.0,2.5,13.2,7.8,0.0,69.4,64.9,4.0,啤酒巧克力,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
135.0,359.0,6.5,1.8,0.0,0.0,79.1,50.1,13.0,QQ熊軟糖,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
145.0,478.0,17.1,24.4,14.0,0.0,47.6,6.2,706.0,蔓越莓菠菜雞肉可頌堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
90.0,253.0,7.7,17.1,11.0,0.2,17.1,1.7,381.0,菠菜洋菇鹹派,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
120.0,324.0,12.5,13.9,4.9,0.0,37.2,2.8,690.0,泰式風味豬肉帕里尼,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
165.0,396.0,18.0,11.2,6.2,0.2,55.6,4.3,855.0,洋蔥牛肉薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
55.0,211.0,3.7,14.7,8.2,0.3,16.1,6.8,86.0,乳酪塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
55.0,220.0,4.7,9.7,6.5,0.2,28.5,8.2,266.0,巧克力橘丁司康,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,257.0,3.7,17.8,9.7,0.1,20.5,13.8,36.0,草莓戚風蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
100.0,277.0,5.7,18.9,10.3,0.1,21.0,13.7,47.0,抹茶草莓捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
110.0,356.0,4.7,21.5,14.9,0.2,36.0,15.7,30.0,草莓塔,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
95.0,403.0,6.2,26.6,19.9,0.3,34.7,21.8,111.0,岩漿巧克力蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
130.0,103.0,3.2,3.4,2.0,0.0,14.8,9.0,42.0,草莓果漿優格,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
79.2,493.0,4.7,20.3,16.4,0.0,72.8,33.2,195.0,星巴克星願桶,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
165.0,294.0,13.0,10.9,5.0,0.2,36.0,7.9,741.0,燒肉起司堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
220.0,449.0,9.9,26.4,2.4,0.0,42.9,3.3,640.0,青醬鮮蔬蝴蝶冷麵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
280.0,294.0,16.8,4.2,0.0,0.0,47.3,7.8,890.0,泰式酸辣雞肉冷麵,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
220.0,282.0,10.8,16.1,2.0,0.0,23.5,10.6,326.0,馬鈴薯炒蛋罐沙拉,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份
