Brand,Name,Portions,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Na_g,Cho_g,Resource,UpdateTime,BraName
MOS BURGER,杏鮑菇珍珠堡,一份,333.6  ,8.4  ,3.9  ,0.8  ,0  ,0.561,66.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_杏鮑菇珍珠堡
MOS BURGER,摩斯熱狗堡,一份,278.4  ,12.7  ,11.6  ,3.1  ,0  ,0.7126,31.1  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_摩斯熱狗堡
MOS BURGER,雞肉三明治,一份,355  ,17.2  ,14.5  ,1.1  ,0  ,0.6091,41.4  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_雞肉三明治
MOS BURGER,香米蝦三明治,一份,373  ,11.3  ,16.2  ,3.0  ,0  ,0.5945,45.3  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_香米蝦三明治
MOS BURGER,日式豬排三明治,一份,303  ,13.0  ,9.7  ,1.5  ,0  ,0.5692,43.5  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_日式豬排三明治
MOS BURGER,火腿蛋三明治,一份,423  ,17.4  ,22.1  ,3.0  ,0  ,0.5207,39.3  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_火腿蛋三明治
MOS BURGER,海洋珍珠堡,一份,390.2  ,11.3  ,8.6  ,3.6  ,0  ,0.331,66.2  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_海洋珍珠堡
MOS BURGER,藜麥海洋珍珠堡,一份,388.9  ,11.5  ,8.3  ,3.4  ,0  ,0.3038,66.4  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_藜麥海洋珍珠堡
MOS BURGER,法式卡菲雞堡,一份,434.1  ,15.8  ,21.8  ,5.6  ,0.1  ,0.776,43.8  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_法式卡菲雞堡
MOS BURGER,咖哩豬排堡-Keema醬,一份,319.2  ,19  ,8.4  ,0.8  ,0  ,0.8232,42.3  ,http://www.mos.com.tw/index.aspx,20190101,MOS BURGER_咖哩豬排堡-Keema醬
